epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.452,0.92622,1.00091,0.91873,0.89832,0.6705,0.74719,0.57413,0.68203,0.48563,0.81582,0.00332572,0.00332572,0.00332572
2,314.257,0.79471,0.53956,0.86057,0.89868,0.75425,0.82003,0.62961,0.65924,0.44955,0.81185,0.00659313,0.00659313,0.00659313
3,468.067,0.80441,0.52284,0.85935,0.90444,0.7874,0.83896,0.64209,0.65818,0.44957,0.81356,0.00979454,0.00979454,0.00979454
4,621.085,0.77762,0.48773,0.85393,0.92303,0.80699,0.86982,0.67549,0.62497,0.41102,0.80224,0.009703,0.009703,0.009703
5,772.816,0.72304,0.44906,0.84426,0.92696,0.83313,0.88488,0.69131,0.59106,0.37774,0.80274,0.009604,0.009604,0.009604
6,924.557,0.69024,0.42917,0.83806,0.92816,0.83083,0.88685,0.70629,0.57817,0.37395,0.79517,0.009505,0.009505,0.009505
7,1075.99,0.6671,0.41278,0.83464,0.93154,0.83688,0.8955,0.72065,0.56323,0.36448,0.79454,0.009406,0.009406,0.009406
8,1227.12,0.64953,0.39677,0.83043,0.93955,0.85539,0.90598,0.73524,0.54705,0.34701,0.79133,0.009307,0.009307,0.009307
9,1378.21,0.63258,0.38592,0.82743,0.93312,0.85298,0.9088,0.73512,0.54312,0.34079,0.78862,0.009208,0.009208,0.009208
10,1531,0.6209,0.37858,0.8256,0.93143,0.86476,0.91491,0.74432,0.53758,0.32911,0.78733,0.009109,0.009109,0.009109
11,1685.69,0.608,0.36992,0.82312,0.94184,0.87555,0.92132,0.75204,0.52468,0.31917,0.78418,0.00901,0.00901,0.00901
12,1838.04,0.60187,0.36392,0.82247,0.93813,0.87492,0.92334,0.7625,0.51692,0.31759,0.78454,0.008911,0.008911,0.008911
13,1990.29,0.59163,0.35695,0.82141,0.94438,0.88067,0.92802,0.76252,0.51923,0.31213,0.78357,0.008812,0.008812,0.008812
14,2142.2,0.584,0.35153,0.8202,0.94612,0.87807,0.92776,0.76082,0.51024,0.30625,0.78196,0.008713,0.008713,0.008713
15,2292.96,0.57419,0.34745,0.81835,0.93933,0.88872,0.93236,0.77311,0.49749,0.30006,0.78116,0.008614,0.008614,0.008614
16,2444.42,0.56881,0.34061,0.81605,0.94658,0.88146,0.92974,0.77367,0.49619,0.29788,0.78095,0.008515,0.008515,0.008515
17,2596.42,0.56359,0.33779,0.81556,0.94568,0.88999,0.93553,0.77721,0.49283,0.29409,0.77924,0.008416,0.008416,0.008416
18,2747.11,0.55598,0.33346,0.81461,0.95422,0.88468,0.93772,0.77985,0.48794,0.28886,0.77923,0.008317,0.008317,0.008317
19,2898.97,0.55211,0.3305,0.81371,0.94932,0.89423,0.94007,0.78437,0.48317,0.28768,0.77828,0.008218,0.008218,0.008218
20,3050.66,0.54588,0.32669,0.81376,0.94959,0.89342,0.93674,0.78029,0.4833,0.28985,0.777,0.008119,0.008119,0.008119
21,3202.96,0.53898,0.32095,0.81172,0.94733,0.89547,0.94186,0.78612,0.47603,0.28219,0.77524,0.00802,0.00802,0.00802
22,3355.03,0.53656,0.32075,0.81195,0.95957,0.90265,0.94482,0.79265,0.46713,0.27546,0.77463,0.007921,0.007921,0.007921
23,3507.55,0.53146,0.31713,0.81125,0.95195,0.90635,0.94633,0.79757,0.46499,0.27846,0.77411,0.007822,0.007822,0.007822
24,3658.89,0.52633,0.31427,0.8112,0.95387,0.91098,0.95097,0.80234,0.46259,0.26945,0.77507,0.007723,0.007723,0.007723
25,3810.16,0.52006,0.31072,0.80953,0.95266,0.91351,0.95012,0.80067,0.45361,0.26445,0.77372,0.007624,0.007624,0.007624
26,3960.63,0.51511,0.30767,0.80871,0.95489,0.91409,0.95264,0.80897,0.45269,0.26955,0.77227,0.007525,0.007525,0.007525
27,4110.57,0.51235,0.30455,0.80836,0.95796,0.91754,0.95421,0.80647,0.4444,0.26194,0.77031,0.007426,0.007426,0.007426
28,4261.03,0.50923,0.30408,0.80775,0.95668,0.90878,0.95305,0.80554,0.44296,0.26277,0.76954,0.007327,0.007327,0.007327
29,4413.22,0.50573,0.29949,0.80684,0.95686,0.91444,0.95634,0.81487,0.43536,0.25528,0.76994,0.007228,0.007228,0.007228
30,4563.98,0.50188,0.29959,0.80612,0.9564,0.91626,0.95458,0.81461,0.43602,0.25591,0.77083,0.007129,0.007129,0.007129
