               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076398,             0.09118,            0.028564,             0.64689,              0.2933,             0.28846,             0.15305,            0.052317,            0.079767,            0.016933,            0.070068,           0.0033257,           0.0033257
                   1,            0.056444,            0.078327,            0.016257,             0.72486,             0.36854,              0.3549,              0.1818,            0.043469,            0.070661,            0.013199,            0.040003,           0.0065931,           0.0065931
                   2,             0.04892,            0.072772,            0.012746,             0.85354,             0.40494,             0.50651,             0.27021,            0.037918,            0.065129,            0.010058,           0.0098706,           0.0097945,           0.0097945
                   3,            0.041922,             0.06785,           0.0097287,             0.88355,             0.51676,             0.63791,             0.40775,             0.02852,            0.060054,           0.0076492,            0.009703,            0.009703,            0.009703
                   4,            0.036936,            0.063046,           0.0076236,             0.87885,             0.64897,             0.72817,             0.50585,            0.026241,            0.054928,           0.0062393,            0.009703,            0.009703,            0.009703
                   5,            0.034149,            0.060905,           0.0062634,               0.918,             0.69388,             0.78086,             0.54187,            0.024998,            0.053276,           0.0051819,            0.009604,            0.009604,            0.009604
                   6,            0.032341,             0.05918,           0.0053302,             0.80764,             0.80284,              0.8384,             0.59208,            0.022549,            0.050583,            0.004655,            0.009505,            0.009505,            0.009505
                   7,            0.030773,            0.057386,           0.0048895,             0.89316,             0.81421,             0.85482,             0.61776,            0.021708,            0.049805,           0.0042827,            0.009406,            0.009406,            0.009406
                   8,            0.029869,            0.056408,           0.0045169,             0.91517,             0.82463,             0.86687,             0.63356,            0.020406,            0.048691,           0.0037773,            0.009307,            0.009307,            0.009307
                   9,            0.029048,            0.055075,           0.0041804,             0.93256,             0.82943,             0.87768,             0.64022,            0.021382,            0.047522,            0.003527,            0.009208,            0.009208,            0.009208
                  10,            0.028098,             0.05391,           0.0038966,             0.92822,             0.83463,             0.88298,             0.64329,            0.019752,             0.04711,           0.0033559,            0.009109,            0.009109,            0.009109
                  11,            0.027495,            0.053148,           0.0037856,             0.93158,             0.84676,             0.89389,             0.65131,            0.020173,            0.046492,           0.0033141,             0.00901,             0.00901,             0.00901
                  12,            0.027121,            0.052527,           0.0035994,              0.9221,             0.84299,             0.88916,             0.66312,            0.019723,            0.046598,           0.0030754,            0.008911,            0.008911,            0.008911
                  13,             0.02641,            0.052282,           0.0035219,             0.93462,             0.85669,             0.90562,             0.67074,            0.019072,             0.04555,           0.0029117,            0.008812,            0.008812,            0.008812
                  14,            0.026131,            0.051526,           0.0033626,             0.93527,              0.8604,             0.90486,             0.69158,            0.018357,            0.044136,           0.0027853,            0.008713,            0.008713,            0.008713
                  15,            0.025251,            0.050965,           0.0032409,             0.93648,             0.86472,             0.91287,             0.68317,            0.018538,            0.044589,           0.0028239,            0.008614,            0.008614,            0.008614
                  16,            0.025261,            0.050105,           0.0030767,             0.93418,             0.86406,             0.91357,             0.69928,            0.018117,            0.043333,           0.0025707,            0.008515,            0.008515,            0.008515
                  17,            0.024639,            0.049762,           0.0030837,             0.93924,              0.8742,             0.91732,             0.70426,            0.017428,            0.042894,           0.0026134,            0.008416,            0.008416,            0.008416
                  18,            0.024253,            0.048836,           0.0029983,             0.94288,             0.87527,             0.92116,             0.70483,            0.017441,            0.042807,           0.0025488,            0.008317,            0.008317,            0.008317
                  19,            0.023893,            0.048874,           0.0028517,             0.93649,             0.87771,             0.92218,             0.71158,            0.017021,            0.041878,           0.0023493,            0.008218,            0.008218,            0.008218
                  20,            0.023727,             0.04863,           0.0027786,             0.94023,             0.88041,             0.92469,             0.72504,            0.016736,            0.042317,           0.0023116,            0.008119,            0.008119,            0.008119
                  21,            0.023364,            0.048109,            0.002749,             0.94663,             0.87607,             0.92346,             0.72521,            0.016708,            0.041643,           0.0022787,             0.00802,             0.00802,             0.00802
                  22,            0.023177,            0.047904,           0.0026856,             0.94663,             0.88387,             0.93008,             0.73151,            0.016682,            0.041408,           0.0022404,            0.007921,            0.007921,            0.007921
                  23,            0.022681,            0.047342,           0.0025892,             0.94631,             0.88263,             0.92976,             0.73288,            0.016437,             0.04105,           0.0021579,            0.007822,            0.007822,            0.007822
                  24,            0.022173,             0.04673,           0.0025199,             0.94302,             0.89004,             0.93083,             0.73454,            0.016372,            0.040428,           0.0020858,            0.007723,            0.007723,            0.007723
                  25,            0.022437,            0.046554,           0.0025143,             0.95099,             0.88785,             0.93332,             0.73058,            0.016231,            0.040813,           0.0020125,            0.007624,            0.007624,            0.007624
                  26,            0.022205,            0.046792,           0.0024293,             0.95415,             0.89324,             0.93776,             0.73676,            0.016098,            0.040674,           0.0020033,            0.007525,            0.007525,            0.007525
                  27,             0.02184,            0.045975,           0.0024319,             0.94936,             0.89073,             0.93958,             0.74192,            0.015879,             0.04036,            0.001968,            0.007426,            0.007426,            0.007426
                  28,            0.021761,            0.045541,           0.0023254,             0.94573,             0.90037,              0.9411,             0.74222,            0.015922,            0.039661,           0.0019425,            0.007327,            0.007327,            0.007327
                  29,            0.021463,            0.045767,           0.0023156,             0.95485,             0.89722,             0.94112,             0.74816,            0.015601,            0.039265,           0.0018696,            0.007228,            0.007228,            0.007228
                  30,             0.02111,            0.045621,           0.0022207,             0.95149,             0.89934,             0.94227,             0.75658,            0.015726,            0.039336,           0.0017773,            0.007129,            0.007129,            0.007129
                  31,            0.021211,            0.044762,           0.0022153,             0.95312,             0.90513,             0.94479,             0.75248,            0.015653,            0.038954,           0.0017402,             0.00703,             0.00703,             0.00703
                  32,            0.021169,            0.045617,           0.0021799,               0.953,             0.90045,             0.94372,             0.75589,            0.015574,            0.038875,           0.0017584,            0.006931,            0.006931,            0.006931
                  33,            0.020901,            0.044617,           0.0021213,             0.95305,             0.91164,             0.94809,             0.75941,            0.015387,            0.038504,           0.0016579,            0.006832,            0.006832,            0.006832
                  34,            0.020538,            0.044298,           0.0021084,             0.95021,              0.9117,             0.94687,             0.75993,            0.015145,            0.038173,           0.0016542,            0.006733,            0.006733,            0.006733
                  35,            0.020531,            0.043996,           0.0020484,             0.94944,             0.91696,             0.95129,             0.76941,            0.015071,            0.037624,           0.0016311,            0.006634,            0.006634,            0.006634
                  36,            0.020096,            0.043846,           0.0019906,             0.95762,              0.9142,             0.95131,              0.7686,            0.015089,            0.037673,            0.001547,            0.006535,            0.006535,            0.006535
                  37,            0.020499,            0.044042,           0.0020036,             0.95846,             0.91258,             0.95114,             0.76637,            0.014952,            0.037486,           0.0015317,            0.006436,            0.006436,            0.006436
                  38,            0.020082,            0.043405,           0.0019752,             0.95208,                0.92,             0.95321,              0.7721,            0.014842,            0.036869,           0.0015036,            0.006337,            0.006337,            0.006337
                  39,            0.019954,            0.043635,            0.001915,             0.95419,             0.91779,             0.95386,             0.77056,            0.014793,            0.037118,           0.0014662,            0.006238,            0.006238,            0.006238
                  40,            0.020151,            0.043753,           0.0018817,             0.96066,             0.91358,             0.95238,             0.76831,            0.014846,            0.037086,           0.0014798,            0.006139,            0.006139,            0.006139
                  41,            0.019742,            0.042807,           0.0019518,             0.95867,             0.91878,             0.95508,             0.77502,            0.014644,            0.036499,           0.0013847,             0.00604,             0.00604,             0.00604
                  42,            0.019505,             0.04289,           0.0018716,             0.96202,             0.91813,             0.95615,             0.77566,            0.014496,            0.036336,           0.0014035,            0.005941,            0.005941,            0.005941
                  43,            0.019531,            0.043062,           0.0018166,              0.9626,             0.92033,             0.95608,             0.77657,             0.01464,            0.036269,           0.0013475,            0.005842,            0.005842,            0.005842
                  44,            0.019415,            0.042601,            0.001806,             0.95947,             0.91883,             0.95681,             0.77628,             0.01444,            0.036159,           0.0013728,            0.005743,            0.005743,            0.005743
                  45,            0.019276,            0.042326,           0.0017917,             0.96126,             0.92332,             0.95866,             0.78101,            0.014418,            0.035913,           0.0013379,            0.005644,            0.005644,            0.005644
                  46,            0.019287,            0.042639,           0.0018354,             0.96433,             0.92273,             0.96046,             0.78397,            0.014252,            0.035602,           0.0012738,            0.005545,            0.005545,            0.005545
                  47,            0.018992,            0.041708,           0.0017494,              0.9651,             0.92456,              0.9605,             0.78278,            0.014257,             0.03564,           0.0012707,            0.005446,            0.005446,            0.005446
                  48,             0.01907,            0.042056,           0.0017541,             0.96411,             0.92419,             0.96065,             0.77912,            0.014211,            0.035431,           0.0012298,            0.005347,            0.005347,            0.005347
                  49,            0.018729,            0.041054,           0.0017039,             0.96305,             0.92813,             0.96287,             0.78943,            0.014066,            0.035373,           0.0012391,            0.005248,            0.005248,            0.005248
                  50,            0.018807,            0.041384,           0.0016853,             0.96583,             0.92384,             0.96284,             0.78435,            0.014016,             0.03538,           0.0012123,            0.005149,            0.005149,            0.005149
                  51,            0.018581,            0.041164,           0.0016298,             0.96461,             0.92885,             0.96241,             0.78874,            0.013954,            0.035145,           0.0011918,             0.00505,             0.00505,             0.00505
                  52,             0.01848,            0.040848,           0.0016309,             0.96639,             0.92739,             0.96414,             0.78962,            0.013913,            0.034585,           0.0011733,            0.004951,            0.004951,            0.004951
                  53,            0.018476,            0.040994,            0.001611,             0.96398,             0.92904,             0.96369,              0.7943,             0.01386,            0.034691,           0.0011513,            0.004852,            0.004852,            0.004852
                  54,            0.018293,            0.040497,           0.0016062,             0.96413,             0.92973,             0.96539,               0.792,            0.013859,            0.034622,           0.0011667,            0.004753,            0.004753,            0.004753
                  55,            0.018209,            0.040593,           0.0016032,             0.96513,             0.93043,             0.96422,             0.79491,            0.013865,            0.035054,           0.0011486,            0.004654,            0.004654,            0.004654
                  56,            0.018041,            0.040007,           0.0015567,             0.96686,             0.93009,              0.9658,             0.79673,            0.013715,            0.034123,           0.0011133,            0.004555,            0.004555,            0.004555
                  57,            0.017889,            0.039996,           0.0015578,             0.96622,             0.93137,             0.96436,             0.79529,            0.013714,            0.033879,           0.0010885,            0.004456,            0.004456,            0.004456
                  58,            0.017752,             0.03981,           0.0015044,             0.96368,             0.93358,             0.96491,             0.79762,            0.013579,            0.033882,           0.0010648,            0.004357,            0.004357,            0.004357
                  59,            0.017747,            0.039725,           0.0014924,             0.96396,             0.93316,             0.96623,             0.79917,             0.01351,            0.033955,           0.0010334,            0.004258,            0.004258,            0.004258
                  60,            0.017757,            0.039875,            0.001488,             0.96573,             0.93337,             0.96645,             0.80182,            0.013553,            0.033678,           0.0010173,            0.004159,            0.004159,            0.004159
                  61,            0.017546,            0.039169,           0.0014874,             0.96571,             0.93322,             0.96627,             0.80128,            0.013493,            0.033597,           0.0010171,             0.00406,             0.00406,             0.00406
                  62,            0.017601,            0.039296,           0.0014614,             0.96435,             0.93579,             0.96776,             0.80095,            0.013428,            0.033536,            0.001008,            0.003961,            0.003961,            0.003961
                  63,            0.017401,            0.039133,           0.0014553,             0.96366,             0.93719,             0.96799,             0.80346,             0.01338,            0.033394,          0.00099143,            0.003862,            0.003862,            0.003862
                  64,            0.017254,            0.038909,           0.0014466,             0.96554,             0.93815,             0.96847,             0.80364,            0.013307,            0.033174,          0.00097176,            0.003763,            0.003763,            0.003763
                  65,            0.017291,            0.038681,           0.0014438,             0.96462,             0.93862,             0.96837,             0.80632,            0.013292,            0.033148,           0.0009623,            0.003664,            0.003664,            0.003664
                  66,            0.017158,            0.039128,           0.0013873,             0.96733,             0.93774,             0.96803,             0.80751,            0.013257,            0.032919,           0.0009266,            0.003565,            0.003565,            0.003565
                  67,             0.01706,            0.038891,           0.0013703,             0.96733,             0.93666,              0.9686,             0.81063,            0.013189,            0.032792,          0.00091866,            0.003466,            0.003466,            0.003466
                  68,            0.017035,            0.038396,           0.0013726,             0.97046,             0.93715,             0.96919,             0.80991,            0.013122,            0.032672,          0.00088623,            0.003367,            0.003367,            0.003367
                  69,            0.016788,            0.038066,           0.0013102,             0.97006,             0.93643,             0.96904,             0.81029,            0.013106,             0.03249,          0.00086865,            0.003268,            0.003268,            0.003268
                  70,            0.016696,            0.037792,           0.0013365,             0.96876,             0.93848,             0.96974,             0.80995,             0.01311,            0.032538,          0.00084003,            0.003169,            0.003169,            0.003169
                  71,            0.016611,            0.037713,           0.0013029,             0.96781,             0.94028,             0.97003,             0.81135,            0.013064,            0.032417,          0.00082485,             0.00307,             0.00307,             0.00307
                  72,            0.016554,             0.03741,           0.0012961,             0.96889,             0.93944,              0.9698,             0.81267,            0.013017,            0.032333,          0.00081837,            0.002971,            0.002971,            0.002971
                  73,            0.016448,             0.03755,            0.001272,             0.97017,             0.93915,             0.96951,             0.81319,            0.012972,            0.031978,          0.00079069,            0.002872,            0.002872,            0.002872
                  74,            0.016441,            0.037404,           0.0012855,             0.96837,             0.94011,             0.96977,             0.81533,            0.012918,            0.031846,           0.0007697,            0.002773,            0.002773,            0.002773
                  75,            0.016341,            0.037067,            0.001219,             0.96907,             0.93957,             0.97043,             0.81413,            0.012921,             0.03188,          0.00076091,            0.002674,            0.002674,            0.002674
