               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071475,             0.11576,            0.027011,             0.68331,             0.31746,             0.32252,             0.15329,            0.052581,            0.087508,            0.016643,            0.070068,           0.0033257,           0.0033257
                   1,             0.05377,            0.095721,            0.015592,             0.80041,             0.38872,             0.43215,             0.19588,            0.039386,            0.078948,            0.012388,            0.040003,           0.0065931,           0.0065931
                   2,            0.045847,            0.089488,             0.01183,             0.84216,             0.57797,             0.63586,             0.32994,            0.033534,            0.073041,           0.0092225,           0.0098706,           0.0097945,           0.0097945
                   3,            0.039504,            0.083566,           0.0086499,             0.92685,             0.71417,               0.773,             0.51168,            0.026652,            0.066305,           0.0065651,            0.009703,            0.009703,            0.009703
                   4,            0.034397,            0.077589,           0.0066641,             0.93999,             0.74515,             0.83367,             0.60128,            0.022246,            0.062549,           0.0053009,            0.009703,            0.009703,            0.009703
                   5,            0.031636,            0.075114,           0.0056994,             0.77875,             0.85568,             0.86999,             0.64722,            0.022847,             0.05978,           0.0044497,            0.009604,            0.009604,            0.009604
                   6,            0.029755,            0.072814,           0.0049485,             0.91251,             0.85441,             0.89705,             0.66998,            0.020998,            0.057802,           0.0039507,            0.009505,            0.009505,            0.009505
                   7,            0.028437,            0.070882,           0.0044775,             0.92527,             0.87146,             0.91034,             0.69862,            0.019242,            0.055348,           0.0035925,            0.009406,            0.009406,            0.009406
                   8,            0.027553,            0.069366,           0.0040662,             0.94666,             0.87404,             0.92106,             0.71325,            0.018078,            0.053221,           0.0032685,            0.009307,            0.009307,            0.009307
                   9,            0.026504,            0.067894,           0.0037316,             0.94447,              0.8883,             0.92684,             0.71519,            0.018301,             0.05325,           0.0030428,            0.009208,            0.009208,            0.009208
                  10,            0.025799,            0.065993,           0.0035394,             0.95763,             0.87932,             0.93172,             0.72689,            0.017605,            0.052283,           0.0029477,            0.009109,            0.009109,            0.009109
