               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07928,            0.017209,           0.0069531,             0.60503,             0.18535,             0.19485,             0.11556,            0.043013,            0.015312,           0.0040352,            0.076304,           0.0012471,           0.0012471
                   1,            0.050562,            0.014247,           0.0038813,             0.47307,              0.2414,             0.25838,             0.16363,            0.033733,            0.013457,           0.0029852,             0.05253,           0.0024724,           0.0024724
                   2,            0.045167,            0.013003,           0.0031207,             0.36273,             0.30112,             0.31958,             0.21905,            0.028137,            0.011949,           0.0025632,             0.02873,            0.003673,            0.003673
                   3,            0.040707,            0.011926,           0.0027083,             0.47783,             0.36522,              0.3856,             0.24775,            0.029142,            0.011071,           0.0022091,           0.0049058,           0.0048487,           0.0048487
                   4,            0.035918,            0.010711,           0.0023453,             0.80614,              0.3855,             0.43784,               0.306,            0.023672,            0.010056,           0.0018718,            0.004802,            0.004802,            0.004802
                   5,            0.032815,           0.0099757,           0.0020243,             0.95355,             0.38447,             0.46186,             0.32253,            0.024242,           0.0095639,           0.0016364,            0.004802,            0.004802,            0.004802
                   6,            0.030524,           0.0095801,           0.0018055,             0.79653,              0.4294,              0.4919,             0.36984,            0.019773,           0.0088649,           0.0014525,           0.0047525,           0.0047525,           0.0047525
                   7,            0.029338,           0.0091043,           0.0016383,               0.777,             0.46204,             0.52153,             0.38069,            0.021241,           0.0087242,           0.0013173,            0.004703,            0.004703,            0.004703
                   8,            0.028549,           0.0087958,           0.0015151,              0.8669,             0.49057,             0.54871,             0.39837,             0.02084,           0.0085041,           0.0011995,           0.0046535,           0.0046535,           0.0046535
                   9,            0.027503,           0.0086633,           0.0013869,             0.45184,             0.57479,             0.57973,             0.44577,            0.018172,           0.0080194,           0.0011116,            0.004604,            0.004604,            0.004604
                  10,            0.026852,           0.0083974,           0.0013195,             0.55151,             0.64895,             0.61907,             0.47978,            0.017822,           0.0077314,           0.0010507,           0.0045545,           0.0045545,           0.0045545
                  11,            0.026658,           0.0082142,           0.0012603,             0.64594,             0.62411,               0.688,              0.5137,            0.019663,           0.0078408,          0.00098366,            0.004505,            0.004505,            0.004505
                  12,            0.025931,           0.0080456,           0.0011899,             0.69125,             0.69568,              0.7325,             0.57397,            0.017445,           0.0076645,           0.0009164,           0.0044555,           0.0044555,           0.0044555
                  13,            0.025758,           0.0080525,           0.0011243,             0.86208,             0.68549,             0.74694,             0.56837,            0.018467,           0.0076551,          0.00085973,            0.004406,            0.004406,            0.004406
                  14,            0.025375,           0.0078409,           0.0010542,             0.93811,             0.69428,             0.76672,             0.59219,            0.017535,           0.0075114,          0.00078786,           0.0043565,           0.0043565,           0.0043565
                  15,            0.024999,           0.0078498,          0.00098523,             0.94232,             0.68833,             0.76817,             0.59266,            0.017639,           0.0073608,          0.00072272,            0.004307,            0.004307,            0.004307
                  16,            0.024838,           0.0077815,          0.00094729,             0.92611,             0.71017,             0.77714,             0.61325,            0.016479,           0.0072969,          0.00072326,           0.0042575,           0.0042575,           0.0042575
                  17,            0.024572,           0.0077223,          0.00091786,             0.92882,             0.71634,             0.78501,             0.61192,            0.017106,           0.0071835,          0.00068375,            0.004208,            0.004208,            0.004208
                  18,            0.024532,           0.0075331,          0.00088827,             0.96142,              0.7233,             0.79348,             0.61829,            0.017194,            0.007298,           0.0006642,           0.0041585,           0.0041585,           0.0041585
                  19,            0.024277,           0.0076346,          0.00085198,             0.96088,             0.73022,             0.79799,               0.635,            0.016192,           0.0070065,          0.00062805,            0.004109,            0.004109,            0.004109
                  20,            0.024097,            0.007571,          0.00083127,             0.95316,             0.74057,              0.8017,             0.62617,            0.017473,           0.0072165,          0.00059129,           0.0040595,           0.0040595,           0.0040595
                  21,            0.023994,           0.0074834,          0.00080789,             0.94392,             0.74145,             0.80732,             0.63695,            0.017065,           0.0072112,          0.00058085,             0.00401,             0.00401,             0.00401
                  22,            0.023884,           0.0074151,          0.00078722,             0.95788,             0.75186,             0.83059,             0.66313,            0.016124,           0.0070737,          0.00056531,           0.0039605,           0.0039605,           0.0039605
                  23,            0.023629,           0.0073997,          0.00076904,             0.95124,             0.74282,             0.83141,             0.66334,            0.015991,           0.0071632,          0.00058156,            0.003911,            0.003911,            0.003911
                  24,            0.023599,           0.0073239,          0.00075086,             0.95963,             0.75263,             0.81437,             0.64142,            0.016514,           0.0069046,          0.00054597,           0.0038615,           0.0038615,           0.0038615
                  25,            0.023367,           0.0073065,          0.00073173,             0.95568,             0.75542,             0.83955,             0.66221,            0.016213,           0.0068938,          0.00051632,            0.003812,            0.003812,            0.003812
                  26,            0.023458,           0.0073222,          0.00072611,             0.86942,             0.81374,             0.85745,             0.68504,            0.015728,           0.0067687,           0.0005074,           0.0037625,           0.0037625,           0.0037625
                  27,            0.023167,           0.0072764,          0.00071541,             0.86707,             0.81876,             0.86711,             0.69114,            0.015851,           0.0067296,          0.00052535,            0.003713,            0.003713,            0.003713
                  28,            0.023062,            0.007242,          0.00069951,             0.88168,             0.83754,              0.8711,             0.69581,            0.015797,           0.0068006,          0.00051418,           0.0036635,           0.0036635,           0.0036635
                  29,            0.022922,           0.0071993,          0.00068979,             0.87973,             0.84462,             0.87896,             0.70446,            0.015693,           0.0066646,          0.00048799,            0.003614,            0.003614,            0.003614
                  30,            0.022815,           0.0073294,          0.00067351,             0.84929,             0.83941,             0.86923,             0.69533,            0.015424,           0.0066148,          0.00050601,           0.0035645,           0.0035645,           0.0035645
                  31,            0.022761,           0.0071022,          0.00067635,             0.86576,             0.85883,             0.87792,             0.69359,            0.015437,           0.0067597,          0.00048921,            0.003515,            0.003515,            0.003515
                  32,            0.022751,           0.0071594,          0.00066623,             0.88661,             0.85214,             0.88717,              0.7143,            0.014916,           0.0063749,          0.00045765,           0.0034655,           0.0034655,           0.0034655
                  33,             0.02253,           0.0070643,          0.00066023,             0.87843,              0.8709,              0.8948,             0.70817,            0.015757,           0.0065879,          0.00045268,            0.003416,            0.003416,            0.003416
                  34,            0.022419,            0.007115,          0.00064878,             0.91747,             0.85311,             0.88727,             0.71615,            0.014672,            0.006357,          0.00045516,           0.0033665,           0.0033665,           0.0033665
                  35,            0.022359,           0.0069669,          0.00063962,             0.91445,             0.87104,              0.9019,             0.73374,            0.014828,           0.0064319,          0.00045009,            0.003317,            0.003317,            0.003317
                  36,            0.022191,           0.0070224,          0.00063924,             0.93526,             0.86003,             0.89911,             0.72891,            0.014709,           0.0063664,          0.00044937,           0.0032675,           0.0032675,           0.0032675
                  37,            0.021987,           0.0070792,          0.00062705,             0.93962,             0.85626,             0.89448,             0.72797,            0.014671,           0.0064327,          0.00041984,            0.003218,            0.003218,            0.003218
                  38,            0.022042,           0.0069543,          0.00062669,             0.94215,             0.86416,             0.90559,             0.73794,            0.014627,           0.0063034,          0.00044004,           0.0031685,           0.0031685,           0.0031685
                  39,            0.021985,           0.0070662,          0.00059995,             0.94364,               0.866,             0.89973,             0.73586,            0.014484,           0.0062351,           0.0004009,            0.003119,            0.003119,            0.003119
                  40,            0.021967,           0.0069435,          0.00059916,             0.95573,             0.86473,             0.90622,             0.74497,            0.014411,           0.0062747,          0.00042299,           0.0030695,           0.0030695,           0.0030695
                  41,            0.021947,           0.0068155,          0.00061045,             0.95841,              0.8778,              0.9143,             0.74812,            0.014329,           0.0061878,          0.00040483,             0.00302,             0.00302,             0.00302
